Constituency Number,Constituency Name,Serial Number,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,Vote Percentage
135,MORWA,1,TUNTUN RAY,Aam Aadmi Party,3143,2,3145,1.6
135,MORWA,2,RANVIJAY SAHU,Rashtriya Janata Dal,77551,219,77770,39.53
135,MORWA,3,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),68969,130,69099,35.13
135,MORWA,4,SANTHOSH RAI,Bahujan Samaj Party,1283,5,1288,0.65
135,MORWA,5,CHANDRASHEKHAR RAI,Socialist Unity Centre Of India (COMMUNIST),2728,0,2728,1.39
135,MORWA,6,JAGRITI,Jan Suraaj Party,4094,37,4131,2.1
135,MORWA,7,BRIJENDU KUMAR SINGH,Hindustani Awam Manch (United),1683,1,1684,0.86
135,MORWA,8,RANJEET KUMAR,Apna Kisan Party,3259,0,3259,1.66
135,MORWA,9,ABHAY KUMAR SINGH,Independent,29960,86,30046,15.27
135,MORWA,10,NOTA,None of the Above,3568,3,3571,1.82
136,SARAIRANJAN,1,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,81729,265,81994,39.38
136,SARAIRANJAN,2,VIJAY KUMAR CHOUDHARY,Janata Dal (United),102465,327,102792,49.37
136,SARAIRANJAN,3,RAM SAGAR ROY,Apna Kisan Party,1483,1,1484,0.71
136,SARAIRANJAN,4,SAJAN KUMAR MISHRA,Jan Suraaj Party,5455,38,5493,2.64
136,SARAIRANJAN,5,AMRENDRA KUMAR SINGH,Independent,1126,3,1129,0.54
136,SARAIRANJAN,6,ASHOK KUMAR ANJANA,Independent,625,3,628,0.3
136,SARAIRANJAN,7,KUNAL KUMAR,Independent,6170,12,6182,2.97
136,SARAIRANJAN,8,RANJIT KUMAR PANDIT,Independent,4055,4,4059,1.95
136,SARAIRANJAN,9,NOTA,None of the Above,4424,4,4428,2.13
137,MOHIUDDINNAGAR,1,AMRENDRA KUMAR YADAV,Bahujan Samaj Party,1238,6,1244,0.68
137,MOHIUDDINNAGAR,2,UMESH RAY,Aam Aadmi Party,520,6,526,0.29
137,MOHIUDDINNAGAR,3,EJYA YADAV,Rashtriya Janata Dal,77279,247,77526,42.31
137,MOHIUDDINNAGAR,4,RAJESH KUMAR SINGH,Bharatiya Janata Party,88994,214,89208,48.68
137,MOHIUDDINNAGAR,5,AJAY KUMAR BULGANIN,Janshakti Janta Dal,1491,7,1498,0.82
137,MOHIUDDINNAGAR,6,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,514,3,517,0.28
137,MOHIUDDINNAGAR,7,RAJKAPOOR SINGH,Jan Suraaj Party,4373,41,4414,2.41
137,MOHIUDDINNAGAR,8,RAM MOHAN RAY,Sathi Aur Aapka Faisala Party,400,1,401,0.22
137,MOHIUDDINNAGAR,9,ABHIRANJAN KUMAR,Independent,703,1,704,0.38
137,MOHIUDDINNAGAR,10,VISHWANATH SAH,Independent,2229,1,2230,1.22
137,MOHIUDDINNAGAR,11,SUNIL KUMAR RAY,Independent,2025,0,2025,1.11
137,MOHIUDDINNAGAR,12,SURJEET SHYAMAL,Independent,747,3,750,0.41
137,MOHIUDDINNAGAR,13,NOTA,None of the Above,2193,4,2197,1.2
138,BIBHUTIPUR,1,AJAY KUMAR,Communist Party of India (Marxist),78908,338,79246,40.37
138,BIBHUTIPUR,2,ARVIND KUMAR,Aam Aadmi Party,2569,5,2574,1.31
138,BIBHUTIPUR,3,AWADHESH KUMAR,Bahujan Samaj Party,1456,6,1462,0.74
138,BIBHUTIPUR,4,RAVINA KUSHWAHA,Janata Dal (United),68824,141,68965,35.13
138,BIBHUTIPUR,5,NEEL KAMAL,Janshakti Janta Dal,1515,3,1518,0.77
138,BIBHUTIPUR,6,VISHWANATH CHOUDHARY,Jan Suraaj Party,13399,51,13450,6.85
138,BIBHUTIPUR,7,AMARJEET KUMAR,Independent,1302,6,1308,0.67
138,BIBHUTIPUR,8,KANHAIYA KUMAR,Independent,956,1,957,0.49
138,BIBHUTIPUR,9,NAVIN KUMAR,Independent,713,0,713,0.36
