Constituency Number,Constituency Name,Serial Number,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,Vote Percentage
121,PARSA,13,NOTA,None of the Above,4674,3,4677,2.58
122,SONEPUR,1,AJAY KUMAR,Samata Party,1156,2,1158,0.58
122,SONEPUR,2,CHANDAN LAL MEHTA,Jan Suraaj Party,11888,89,11977,6.01
122,SONEPUR,3,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,85861,214,86075,43.2
122,SONEPUR,4,VINAY KUMAR SINGH,Bharatiya Janata Party,90591,251,90842,45.59
122,SONEPUR,5,DHARAMVEER KUMAR,Nationalist Congress Party,471,0,471,0.24
122,SONEPUR,6,SURENDRA PRASAD YADAV,Janshakti Janta Dal,1235,0,1235,0.62
122,SONEPUR,7,RAMESH KUMAR,Independent,3155,1,3156,1.58
122,SONEPUR,8,ROHIT ROY,Independent,1720,0,1720,0.86
122,SONEPUR,9,NOTA,None of the Above,2602,4,2606,1.31
123,HAJIPUR,1,ABHISHEK KUMAR,Bahujan Samaj Party,1540,5,1545,0.69
123,HAJIPUR,2,AWADHESH SINGH,Bharatiya Janata Party,112565,656,113221,50.27
123,HAJIPUR,3,GHANSHYAM KUMAR DAHA,Rashtriya Lok Janshakti Party,1602,2,1604,0.71
123,HAJIPUR,4,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,93857,855,94712,42.05
123,HAJIPUR,5,RAJ KUMAR PASWAN,Aam Aadmi Party,637,7,644,0.29
123,HAJIPUR,6,INDRADEO ROY,Socialist Unity Centre Of India (COMMUNIST),254,0,254,0.11
123,HAJIPUR,7,DHEERAJ KUMAR ROY,Yuva Devlop Party,419,5,424,0.19
123,HAJIPUR,8,PRATIBHA SINHA,Jan Suraaj Party,4605,96,4701,2.09
123,HAJIPUR,9,RAJ KUMAR SINGH,Bhartiya Lok Chetna Party,823,8,831,0.37
123,HAJIPUR,10,NISHANT GANDHI,Independent,1836,15,1851,0.82
123,HAJIPUR,11,RAMESH KUMAR SINGH,Independent,845,3,848,0.38
123,HAJIPUR,12,SUNIL ROY,Independent,2225,1,2226,0.99
123,HAJIPUR,13,NOTA,None of the Above,2370,11,2381,1.06
124,LALGANJ,1,RAJENDRA PRASAD SINGH,Aam Aadmi Party,1675,4,1679,0.7
124,LALGANJ,2,SHIVANI SHUKLA,Rashtriya Janata Dal,94807,676,95483,39.75
124,LALGANJ,3,SANJAY KUMAR SINGH,Bharatiya Janata Party,127193,457,127650,53.14
124,LALGANJ,4,AMAR KUMAR SINGH,Jan Suraaj Party,4151,64,4215,1.75
124,LALGANJ,5,MD. NIYAJ ALAM,Lok Shakti Party (Loktantrik),603,8,611,0.25
124,LALGANJ,6,RAJENDRA SHARMA,Socialist Unity Centre Of India (COMMUNIST),370,3,373,0.16
124,LALGANJ,7,AKHILESH KUMAR,Independent,459,2,461,0.19
124,LALGANJ,8,ABHISHEK KUMAR SINGH,Independent,968,2,970,0.4
124,LALGANJ,9,DHIRENDRA KUMAR MAHTO,Independent,4434,7,4441,1.85
124,LALGANJ,10,VIDYA PRAKASH,Independent,2143,5,2148,0.89
124,LALGANJ,11,NOTA,None of the Above,2162,12,2174,0.91
125,VAISHALI,1,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,75302,485,75787,31.89
125,VAISHALI,2,NISHA RAJ,Bahujan Samaj Party,2305,16,2321,0.98
125,VAISHALI,3,RAMEKBAL SINGH,Rashtriya Lok Janshakti Party,1431,8,1439,0.61
125,VAISHALI,4,SANJEEV SINGH,Indian National Congress,20269,126,20395,8.58
125,VAISHALI,5,SIDDHARTH PATEL,Janata Dal (United),107853,524,108377,45.6
125,VAISHALI,6,DR. BIPIN CHANDRA,Samata Party,2080,4,2084,0.88
125,VAISHALI,7,MD. MURTAZA HOSSAIN HAQUE,Ambedkar National Congress,841,6,847,0.36
125,VAISHALI,8,RAJ KUMAR,Bajjikanchal Vikas Party,1122,1,1123,0.47
125,VAISHALI,9,RAM NATH RAY,Socialist Unity Centre Of India (COMMUNIST),2820,3,2823,1.19
125,VAISHALI,10,SUNIL KUMAR,Jan Suraaj Party,9047,61,9108,3.83
125,VAISHALI,11,ANAND KUMAR,Independent,1526,2,1528,0.64
125,VAISHALI,12,RUBI KUMARI,Independent,3163,11,3174,1.34
125,VAISHALI,13,BRISHIN PATEL,Independent,4075,41,4116,1.73
125,VAISHALI,14,NOTA,None of the Above,4554,8,4562,1.92
126,MAHUA,1,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,42406,238,42644,20.18
126,MAHUA,2,RIMJHIM DEVI,Bahujan Samaj Party,6678,61,6739,3.19
126,MAHUA,3,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87356,285,87641,41.47
126,MAHUA,4,AKHILESH KUMAR THAKUR,Nationalist Congress Party,998,2,1000,0.47
126,MAHUA,5,AMIT KUMAR,All India Majlis-E-Ittehadul Muslimeen,15747,36,15783,7.47
126,MAHUA,6,INDRAJEET PRADHAN,Jan Suraaj Party,2371,15,2386,1.13
126,MAHUA,7,JAY NARAYAN SAH,Bajjikanchal Vikas Party,652,0,652,0.31
126,MAHUA,8,TEJ PRATAP YADAV,Janshakti Janta Dal,35333,370,35703,16.89
126,MAHUA,9,RAJU MAHTO,Bhartiya Sarthak Party,1369,3,1372,0.65
126,MAHUA,10,LALIT KUMAR GHOSH,Socialist Unity Centre Of India (COMMUNIST),558,2,560,0.26
126,MAHUA,11,AMRESH KUMAR,Independent,999,6,1005,0.48
126,MAHUA,12,ASHMA PARVEEN,Independent,7321,106,7427,3.51
126,MAHUA,13,NARESH RAY,Independent,1108,2,1110,0.53
126,MAHUA,14,RAM SAGAR SAHNI,Independent,3646,3,3649,1.73
126,MAHUA,15,SARITA SAH,Independent,939,1,940,0.44
126,MAHUA,16,NOTA,None of the Above,2710,7,2717,1.29
127,RAJA PAKAR,1,KRISHNA MOHAN PASWAN,Bahujan Samaj Party,1396,8,1404,0.76
127,RAJA PAKAR,2,PRATIMA KUMARI,Indian National Congress,47639,430,48069,26.12
127,RAJA PAKAR,3,MAHENDRA RAM,Janata Dal (United),95630,628,96258,52.31
127,RAJA PAKAR,4,SHIVNATH KUMAR PASWAN,Rashtriya Lok Janshakti Party,1954,29,1983,1.08
127,RAJA PAKAR,5,ASHOK PASWAN,Sathi Aur Aapka Faisala Party,887,3,890,0.48
127,RAJA PAKAR,6,UMESH RAM,Socialist Unity Centre Of India (COMMUNIST),1147,4,1151,0.63
127,RAJA PAKAR,7,CHANDAN KUMAR,All India Forward Bloc,382,0,382,0.21
127,RAJA PAKAR,8,DHARMENDRA KUMAR,Jantantra Awaj Party,471,3,474,0.26
